,id,header,offeredSince,availabilty,status,statusNew,price,postCode1,postCode2,neighbourhood,areaM2,rooms,interior,energy,agent,link,scrapDate
28,789e19dd,Apartment Leidsekade 102 D,"
3 weeks
","
Immediately
",NA,"
For rent
",4500.0,1017,PP,De Weteringschans,141,3,Furnished,A,Urban Homies,https://www.pararius.com/apartment-for-rent/amsterdam/789e19dd/leidsekade,2022-10-25 22:18:52
29,d45e203c,Apartment Prinsengracht 17 C,"
3 weeks
","
In consultation
",Rented under option,"
Rented under option
",2300.0,1015,DK,Grachtengordel-West,80,4,Upholstered,Not Available,Broersma Makelaardij,https://www.pararius.com/apartment-for-rent/amsterdam/d45e203c/prinsengracht,2022-10-25 22:18:52
30,2e41a9fd,Apartment Weteringschans,"
3 weeks
","
Immediately
",NA,"
For rent
",2200.0,1017,RW,De Weteringschans,70,3,Upholstered,C,Great Expatation,https://www.pararius.com/apartment-for-rent/amsterdam/2e41a9fd/weteringschans,2022-10-25 22:18:52
31,6dbc1af3,Apartment Bankastraat,"
3 weeks
","
Immediately
",NA,"
For rent
",1600.0,1094,EB,Indische Buurt West,60,2,NA,Not Available,I AM REAL ESTATE,https://www.pararius.com/apartment-for-rent/amsterdam/6dbc1af3/bankastraat,2022-10-25 22:18:52
2,860becc2,Apartment Ertskade 22,"
3 weeks
","
From 01-11-2022
",NA,"
For rent
",2400.0,1019,BB,Oostelijk Havengebied,138,4,Upholstered,A,LIV Residential,https://www.pararius.com/apartment-for-rent/amsterdam/860becc2/ertskade,2022-10-25 22:18:52
3,25267426,Apartment Osdorpplein,"
3 weeks
","
In consultation
",NA,"
For rent
",1650.0,1068,TD,Osdorp-Oost,65,2,NA,A+,Rebid,https://www.pararius.com/apartment-for-rent/amsterdam/25267426/osdorpplein,2022-10-25 22:18:52
4,8b7f3e6f,House Leidsegracht,"
3 weeks
","
In consultation
",NA,"
For rent
",6000.0,1016,CP,Grachtengordel-West,201,6,NA,Not Available,Heeren Makelaars B.V.,https://www.pararius.com/house-for-rent/amsterdam/8b7f3e6f/leidsegracht,2022-10-25 22:18:52
5,b5bd6bd1,Apartment Reyer Anslostraat 19 hs,"
3 weeks
","
In consultation
",Rented under option,"
Rented under option
",2850.0,1054,KT,Overtoomse Sluis,103,3,NA,C,Raadsheer Baart,https://www.pararius.com/apartment-for-rent/amsterdam/b5bd6bd1/reyer-anslostraat,2022-10-25 22:18:52
6,312e3d38,Apartment Volewijkshof 33,"
3 weeks
","
Immediately
",Rented under option,"
Rented under option
",1600.0,1031,AG,Volewijck,75,3,NA,A,Hoen Vastgoedbeheer,https://www.pararius.com/apartment-for-rent/amsterdam/312e3d38/volewijkshof,2022-10-25 22:18:52
7,6fecc4e5,Apartment Kastelenstraat 307 3,"
3 weeks
","
From 02-11-2022
",NA,"
For rent
",1650.0,1082,EH,Buitenveldert-West,75,3,NA,G,Heimstaden,https://www.pararius.com/apartment-for-rent/amsterdam/6fecc4e5/kastelenstraat,2022-10-25 22:18:52
8,15834fc1,Apartment Lorreinenstraat 8 H,"
3 weeks
","
From 01-11-2022
",NA,"
For rent
",2150.0,1055,CZ,Erasmuspark,85,3,Furnished,Not Available,The Tenants Group,https://www.pararius.com/apartment-for-rent/amsterdam/15834fc1/lorreinenstraat,2022-10-25 22:18:52
9,7331149a,Apartment Kuipersstraat,"
3 weeks
","
Immediately
",NA,"
For rent
",2750.0,1074,EK,Nieuwe Pijp,77,3,Upholstered,A,A Plus Apartments,https://www.pararius.com/apartment-for-rent/amsterdam/7331149a/kuipersstraat,2022-10-25 22:18:52
10,e066f184,Apartment Cornelis Vermuydenstraat,"
3 weeks
","
Immediately
",NA,"
For rent
",2200.0,1018,RN,Oostelijke Eilanden/Kadijken,75,3,Furnished,A,Valkenet Vastgoed,https://www.pararius.com/apartment-for-rent/amsterdam/e066f184/cornelis-vermuydenstraat,2022-10-25 22:18:52
11,825c03a5,Apartment Derde Helmersstraat,"
3 weeks
","
Immediately
",NA,"
For rent
",4000.0,1054,BM,Helmersbuurt,122,4,Upholstered,A,Michiel Stolker Real Estate,https://www.pararius.com/apartment-for-rent/amsterdam/825c03a5/derde-helmersstraat,2022-10-25 22:18:52
12,2c7f6431,Apartment Oostenburgergracht 57 B,"
3 weeks
","
From 09-11-2022
",NA,"
For rent
",2650.0,1018,NB,Oostelijke Eilanden/Kadijken,80,3,Furnished,C,Oei Housing Amsterdam - Expat Apartments,https://www.pararius.com/apartment-for-rent/amsterdam/2c7f6431/oostenburgergracht,2022-10-25 22:18:52
13,80033d04,House Plantage Muidergracht,"
3 weeks
","
In consultation
",NA,"
For rent
",1850.0,1018,TM,Weesperbuurt/Plantage,55,2,NA,D,Rebid,https://www.pararius.com/house-for-rent/amsterdam/80033d04/plantage-muidergracht,2022-10-25 22:18:52
